,Unnamed: 0,Rank,University,City,State,Tuition,Enrollment,url
59,59,#58,University of Maryland--College Park,College Park,MD,36890,30511.0,https://www.umd.edu/
60,60,#58,University of Pittsburgh--Pittsburgh Campus,Pittsburgh,PA,33706,19200.0,https://www.pitt.edu/
61,61,#58,University of Washington,Seattle,WA,39461,32046.0,https://www.washington.edu/
62,62,#63,Pennsylvania State University--University Park,University Park,PA,35514,40639.0,https://www.psu.edu/
63,63,#63,Rutgers University--New Brunswick,Piscataway,NJ,31785,36158.0,https://newbrunswick.rutgers.edu/
64,64,#63,University of Connecticut,Storrs,CT,40502,18847.0,uconn.edu/
65,65,#66,Fordham University,New York,NY,55788,9767.0,www.fordham.edu
66,66,#66,George Washington University,Washington,DC,58640,12484.0,https://www.gwu.edu
67,67,#66,Loyola Marymount University,Los Angeles,CA,52577,6778.0,https://www.lmu.edu
68,68,#66,Southern Methodist University,Dallas,TX,58540,6710.0,www.smu.edu
69,69,#66,Texas A&M University,College Station,TX,39394,53791.0,https://www.tamu.edu/
70,70,#66,University of Massachusetts--Amherst,Amherst,MA,35710,24209.0,https://www.umass.edu/
71,71,#66,University of Minnesota--Twin Cities,Minneapolis,MN,33325,35165.0,https://twin-cities.umn.edu/
72,72,#66,Worcester Polytechnic Institute,Worcester,MA,53826,4761.0,https://www.wpi.edu/
73,73,#74,Clemson University,Clemson,SC,38112,20195.0,www.clemson.edu
74,74,#74,Virginia Tech,Blacksburg,VA,32893,29300.0,https://vt.edu/
75,75,#76,American University,Washington,DC,51335,8527.0,WWW.AMERICAN.EDU
76,76,#76,Baylor University,Waco,TX,47364,14108.0,www.baylor.edu
77,77,#76,Indiana University--Bloomington,Bloomington,IN,37600,33084.0,https://www.indiana.edu/
78,78,#76,Yeshiva University,New York,NY,46475,2038.0,www.yu.edu
79,79,#80,Brigham Young University--Provo,Provo,UT,5970,31292.0,https://www.byu.edu/
80,80,#80,Gonzaga University,Spokane,WA,44920,5238.0,https://www.gonzaga.edu
